"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","depurado","sinEspacios","statusCount","followers","favorites","friends","location","relevancia1","localidadMayusculas","codProv","factorPonderacion"
"10<U+0092> 2T @Macara_Oficial   1-0  @BarcelonaBSC  Salio Esterilla entro Vera en Barcelona
#FutbolEcuatorianoPorSucre",FALSE,0,NA,2017-07-16 18:15:14,FALSE,NA,886650446206701568,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","radio_sucre",0,FALSE,FALSE,NA,NA,"<U+0092> T Macaraficial     BarcelonaBSC  Salio Esterilla entro Vera en Barcelona
FutbolEcuatorianoPorSucre","<U+0092>TMacaraficialBarcelonaBSCSalioEsterillaentroVeraenBarcelonaFutbolEcuatorianoPorSucre",63093,54313,70,714,"Guayaquil - Ecuador",76.1809256661992,"GUAYAQUIL - ECUADOR","9",0
"15<U+0092> 1T @Macara_Oficial   vs  @BarcelonaBSC  
#FutbolEcuatorianoPorSucre",FALSE,0,NA,2017-07-16 17:15:38,FALSE,NA,886635448713531392,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","radio_sucre",0,FALSE,FALSE,NA,NA,"<U+0092> T Macaraficial   vs  BarcelonaBSC  
FutbolEcuatorianoPorSucre","<U+0092>TMacaraficialvsBarcelonaBSCFutbolEcuatorianoPorSucre",63093,54313,70,714,"Guayaquil - Ecuador",76.1809256661992,"GUAYAQUIL - ECUADOR","9",0
"65<U+0092> 2T   UCatolicaEC 0-2 @IDV_EC
#FutbolEcuatorianoPorSucre",FALSE,0,NA,2017-07-15 18:26:07,FALSE,NA,886290798525939712,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","radio_sucre",0,FALSE,FALSE,NA,NA,"<U+0092> T   UCatolicaEC  IDVC
FutbolEcuatorianoPorSucre","<U+0092>TUCatolicaECIDVCFutbolEcuatorianoPorSucre",63093,54313,70,714,"Guayaquil - Ecuador",76.1809256661992,"GUAYAQUIL - ECUADOR","9",0
"90<U+0092>  @UCatolicaEC 0-3 @IDV_EC
#FutbolEcuatorianoPorSucre",FALSE,0,NA,2017-07-15 18:51:11,FALSE,NA,886297104741695488,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","radio_sucre",0,FALSE,FALSE,NA,NA,"<U+0092>  UCatolicaEC  IDVC
FutbolEcuatorianoPorSucre","<U+0092>UCatolicaECIDVCFutbolEcuatorianoPorSucre",63093,54313,70,714,"Guayaquil - Ecuador",76.1809256661992,"GUAYAQUIL - ECUADOR","9",0
"RT @raulclementelh: <U+0093>A trav<e9>s de #AcuerdoMinisterial normamos inspecciones laborales, ser<e1>n notificadas con 15 d<ed>as de anticipaci<f3>n<U+0094> @radio<U+0085>",FALSE,0,NA,2017-07-17 18:16:51,FALSE,NA,887013244115800064,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iderosvaldo",7,TRUE,FALSE,NA,NA,"<U+0093>A trav<e9>s de AcuerdoMinisterial normamos inspecciones laboralesser<e1>n notificadas con  d<ed>as de anticipaci<f3>n<U+0094> radio<U+0085>","<U+0093>Atrav<e9>sdeAcuerdoMinisterialnormamosinspeccioneslaboralesser<e1>nnotificadascond<ed>asdeanticipaci<f3>n<U+0094>radio<U+0085>",23259,345,187,231,"JipijapaPortoRockGuayaKill",1.48706896551724,"JIPIJAPAPORTOROCKGUAYAKILL","13",0
"<U+0093>A trav<e9>s de #AcuerdoMinisterial normamos inspecciones laborales, ser<e1>n notificadas con 15 d<ed>as de anticipaci<f3>n<U+0094> @radio_sucre",FALSE,0,NA,2017-07-17 13:34:20,FALSE,NA,886942146162569216,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","raulclementelh",7,FALSE,FALSE,NA,NA,"<U+0093>A trav<e9>s de AcuerdoMinisterial normamos inspecciones laboralesser<e1>n notificadas con  d<ed>as de anticipaci<f3>n<U+0094> radioucre","<U+0093>Atrav<e9>sdeAcuerdoMinisterialnormamosinspeccioneslaboralesser<e1>nnotificadascond<ed>asdeanticipaci<f3>n<U+0094>radioucre",22482,2741,254,432,NA,6.35416666666667,NA,"25",0
"<U+0093>Buscaremos soluciones reales para atender los actuales problemas del <e1>mbito laboral<U+0094> @radio_sucre https://t.co/G9KRMfy6aL",FALSE,11,NA,2017-07-17 13:30:53,FALSE,NA,886941276746252288,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","raulclementelh",10,FALSE,FALSE,NA,NA,"<U+0093>Buscaremos soluciones reales para atender los actuales problemas del <e1>mbito laboral<U+0094> radioucre","<U+0093>Buscaremossolucionesrealesparaatenderlosactualesproblemasdel<e1>mbitolaboral<U+0094>radioucre",22482,2741,254,432,NA,6.35416666666667,NA,"25",0
"RT @raulclementelh: <U+0093>Buscaremos soluciones reales para atender los actuales problemas del <e1>mbito laboral<U+0094> @radio_sucre https://t.co/G9KRMfy<U+0085>",FALSE,0,NA,2017-07-18 00:11:14,FALSE,NA,887102423747223552,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","drsaltos",10,TRUE,FALSE,NA,NA,"<U+0093>Buscaremos soluciones reales para atender los actuales problemas del <e1>mbito laboral<U+0094> radioucre <U+0085>","<U+0093>Buscaremossolucionesrealesparaatenderlosactualesproblemasdel<e1>mbitolaboral<U+0094>radioucre<U+0085>",19885,783,62,1587,"Quevedo",0.493081761006289,"QUEVEDO","12",0
"<U+0093>El nuevo C<f3>digo del Trabajo debe tener impacto social, de productividad y de f<e1>cil aplicabilidad<U+0094> @radio_sucre https://t.co/Htfuq9wJqt",FALSE,4,NA,2017-07-17 13:24:10,FALSE,NA,886939584898183168,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","raulclementelh",12,FALSE,FALSE,NA,NA,"<U+0093>El nuevo C<f3>digo del Trabajo debe tener impacto socialde productividad y de f<e1>cil aplicabilidad<U+0094> radioucre","<U+0093>ElnuevoC<f3>digodelTrabajodebetenerimpactosocialdeproductividadydef<e1>cilaplicabilidad<U+0094>radioucre",22482,2741,254,432,NA,6.35416666666667,NA,"25",0
"RT @raulclementelh: <U+0093>El nuevo C<f3>digo del Trabajo debe tener impacto social, de productividad y de f<e1>cil aplicabilidad<U+0094> @radio_sucre https:/<U+0085>",FALSE,0,NA,2017-07-18 00:10:57,FALSE,NA,887102353178075136,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","drsaltos",12,TRUE,FALSE,NA,NA,"<U+0093>El nuevo C<f3>digo del Trabajo debe tener impacto socialde productividad y de f<e1>cil aplicabilidad<U+0094> radioucre <U+0085>","<U+0093>ElnuevoC<f3>digodelTrabajodebetenerimpactosocialdeproductividadydef<e1>cilaplicabilidad<U+0094>radioucre<U+0085>",19885,783,62,1587,"Quevedo",0.493081761006289,"QUEVEDO","12",0
