"created","favoriteCount","favorited","id","isRetweet","latitude","longitude","replyToSID","replyToSN","replyToUID","retweetCount","retweeted","screenName","statusSource","text","truncated","depurado","sinEspacios","statusCount","followers","favorites","friends","location"
"2017-07-07",0,FALSE,883373109021200384,FALSE,NA,NA,883132245233590272,"jacob2627",59604266,0,FALSE,"marisabelm","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@jacob2627 @jaimenebotsaadi @Malecon2000Gye @RadioHuancavilk @RadioMorena @ecuadorenvivo @forever925 @Expresoec… https://t.co/ZofMibJhxb",TRUE,"jacob jaimenebotsaadi MaleconGye RadioHuancavilk RadioMorena ecuadorenvivo forever Expresoec… ","jacobjaimenebotsaadiMaleconGyeRadioHuancavilkRadioMorenaecuadorenvivoforeverExpresoec…",45147,2132,12080,610,"En el Interregno."
"2017-07-08",0,FALSE,883651010006331392,FALSE,NA,NA,883113243362906112,"jaimenebotsaadi",24776620,0,FALSE,"maquitocabello","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@jaimenebotsaadi @Malecon2000Gye @RadioHuancavilk @RadioMorena @ecuadorenvivo @forever925 @Expresoec @radiocentroec… https://t.co/hNRnIU7Evm",TRUE,"jaimenebotsaadi MaleconGye RadioHuancavilk RadioMorena ecuadorenvivo forever Expresoec radiocentroec… ","jaimenebotsaadiMaleconGyeRadioHuancavilkRadioMorenaecuadorenvivoforeverExpresoecradiocentroec…",418,51,1341,614,"Guayaquil-Ecuador"
"2017-07-04",0,FALSE,882308790955237376,FALSE,NA,NA,880095876391292928,"jaimenebotsaadi",24776620,0,FALSE,"allexxa10","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@jaimenebotsaadi @radio_sucre antes de poner internet y crear sitios turísticos Primero que se encargue de acabar c… https://t.co/Q5NtPczGNf",TRUE,"jaimenebotsaadi radioucre antes de poner internet y crear sitios turísticos Primero que se encargue de acabar c… ","jaimenebotsaadiradioucreantesdeponerinternetycrearsitiosturísticosPrimeroqueseencarguedeacabarc…",197,22,96,153,""
"2017-07-05",0,FALSE,882579574550298624,FALSE,NA,NA,882575616490471424,"jaimenebotsaadi",24776620,0,FALSE,"DanielPeraltaZ","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@jaimenebotsaadi @Tropicana_ec @RadioHuancavilk @radioi99 @RadioMorena @radiocentroec @radio_sucre @Caravana750… https://t.co/SQ79N0hchr",TRUE,"jaimenebotsaadi Tropicanac RadioHuancavilk radioi RadioMorena radiocentroec radioucre Caravana… ","jaimenebotsaadiTropicanacRadioHuancavilkradioiRadioMorenaradiocentroecradioucreCaravana…",4917,149,517,99,"Guayaquil-Ecuador"
"2017-07-13 20:25:44",1,FALSE,885596124534505472,FALSE,NA,NA,NA,"JelozMusic",1187457042,0,FALSE,"ExaFmEcuador","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@JelozMusic regresa de la mano de Sony Music, para  presentarnos “Máquina de Amores” https://t.co/egMEAYWqvk",FALSE,"JelozMusic regresa de la mano de Sony Musicpara  presentarnos “Máquina de Amores” ","JelozMusicregresadelamanodeSonyMusicparapresentarnos“MáquinadeAmores”",41654,39104,5901,866,"Ecuador "
"2017-07-10",0,FALSE,884592154500354048,FALSE,NA,NA,884546519214563328,"Jennifer_VPita",259093440,0,FALSE,"ivan_abadakd","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@Jennifer_VPita @DavichoSilva @pepegutierrez89 @jamolestina @lachinamoreno @radio_sucre @ZonaMegaRadioTV @Elitap… https://t.co/5sxVtAklYe",TRUE,"JenniferPita DavichoSilva pepegutierrez jamolestina lachinamoreno radioucre ZonaMegaRadioTV Elitap… ","JenniferPitaDavichoSilvapepegutierrezjamolestinalachinamorenoradioucreZonaMegaRadioTVElitap…",509,4,65,12,"Quito, Ecuador"
"2017-07-10",0,FALSE,884563413761916928,FALSE,NA,NA,884546519214563328,"Jennifer_VPita",259093440,0,FALSE,"Csoria77","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@Jennifer_VPita @Elitap @pepegutierrez89 @jamolestina @lachinamoreno @radio_sucre @ZonaMegaRadioTV @DavichoSilva… https://t.co/2gCdF8fA11",TRUE,"JenniferPita Elitap pepegutierrez jamolestina lachinamoreno radioucre ZonaMegaRadioTV DavichoSilva… ","JenniferPitaElitappepegutierrezjamolestinalachinamorenoradioucreZonaMegaRadioTVDavichoSilva…",665,25,313,97,""
"2017-07-10",2,FALSE,884575112246251520,FALSE,NA,NA,884546519214563328,"Jennifer_VPita",259093440,1,FALSE,"rubenpaul74","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@Jennifer_VPita @pepegutierrez89 @jamolestina @lachinamoreno @radio_sucre @ZonaMegaRadioTV @DavichoSilva @Elitap… https://t.co/Gu4VOu2jAD",TRUE,"JenniferPita pepegutierrez jamolestina lachinamoreno radioucre ZonaMegaRadioTV DavichoSilva Elitap… ","JenniferPitapepegutierrezjamolestinalachinamorenoradioucreZonaMegaRadioTVDavichoSilvaElitap…",6080,201,487,883,"Guayaquil - Ecuador"
"2017-07-10",1,FALSE,884548758599585792,FALSE,NA,NA,884546519214563328,"Jennifer_VPita",259093440,0,FALSE,"carrovarr","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@Jennifer_VPita @sol_deportiva @pepegutierrez89 @jamolestina @lachinamoreno @radio_sucre @ZonaMegaRadioTV… https://t.co/xQEZuTEE4V",TRUE,"JenniferPita soleportiva pepegutierrez jamolestina lachinamoreno radioucre ZonaMegaRadioTV… ","JenniferPitasoleportivapepegutierrezjamolestinalachinamorenoradioucreZonaMegaRadioTV…",1054,113,218,274,"ecuador"
"2017-07-21 13:39:41",0,FALSE,888393041769365504,TRUE,NA,NA,NA,NA,NA,2,FALSE,"VernicaVaca1","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @DiianaVero: #JhonatanLunaEnelConciertoExa @ExaFmEcuador el motivaaaa ;) @alvaro_exa @veroBarragan76 #ConciertoExa2015 http://t.co/91ELk…",FALSE,"JhonatanLunaEnelConciertoExa ExaFmEcuador el motivaaaa  alvaroxa veroBarragan ConciertoExa …","JhonatanLunaEnelConciertoExaExaFmEcuadorelmotivaaaaalvaroxaveroBarraganConciertoExa…",777,77,1136,53,"Ecuador"
"2017-07-03",0,FALSE,882074058157948928,TRUE,NA,NA,NA,NA,NA,1,FALSE,"JChancellorNews","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @radio_sucre: Jhon Chancellor: Agradecimiento a toda la gente de Manta y a los hinchas por la gran confianza que me dieron.
#SucreDeport…",FALSE,"Jhon ChancellorAgradecimiento a toda la gente de Manta y a los hinchas por la gran confianza que me dieronSucreDeport…","JhonChancellorAgradecimientoatodalagentedeMantayaloshinchasporlagranconfianzaquemedieronSucreDeport…",2407,300,113,82,"Venezuela"
"2017-07-21 13:40:04",0,FALSE,888393136862580736,TRUE,NA,NA,NA,NA,NA,1,FALSE,"VernicaVaca1","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @DiianaVero: #JhontanLunaEnElConciertoExa2015 @ExaFmEcuador @jluna_oficial siii sus fans lo pedimos xfavor @alvaro_exa http://t.co/32tFE…",FALSE,"JhontanLunaEnElConciertoExa ExaFmEcuador jlunaficial siii sus fans lo pedimos xfavor alvaroxa …","JhontanLunaEnElConciertoExaExaFmEcuadorjlunaficialsiiisusfanslopedimosxfavoralvaroxa…",777,77,1136,53,"Ecuador"
"2017-07-04",0,FALSE,882337863635021824,FALSE,NA,NA,881949674713657344,"jimmyjairala",119392416,0,FALSE,"carantolara81","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@jimmyjairala @PrefecturGuayas @ecuavisa @eluniversocom @el_telegrafo @tctelevision @revistavistazo @teleramaec… https://t.co/1NtIa1T03l",TRUE,"jimmyjairala PrefecturGuayas ecuavisa eluniversocom elelegrafo tctelevision revistavistazo teleramaec… ","jimmyjairalaPrefecturGuayasecuavisaeluniversocomelelegrafotctelevisionrevistavistazoteleramaec…",1056,172,128,171,""
