"n";"text";"favorited";"favoriteCount";"replyToSN";"created";"truncated";"replyToSID";"id";"replyToUID";"statusSource";"screenName";"retweetCount";"isRetweet";"retweeted";"longitude";"latitude";"localidad"
"808";"#DaddyEnQuito  <ed><U+00A0><U+00BD><ed><U+00B9><U+008F>
#DaddyEnQuito  <ed><U+00A0><U+00BD><ed><U+00B9><U+008F>
#DaddyEnQuito  <ed><U+00A0><U+00BD><ed><U+00B9><U+008F>
#DaddyEnQuito  <ed><U+00A0><U+00BD><ed><U+00B9><U+008F>
#DaddyEnQuito  <ed><U+00A0><U+00BD><ed><U+00B9><U+008F>
#DaddyEnQuito  <ed><U+00A0><U+00BD><ed><U+00B9><U+008F>
#DaddyEnQuito  
@CanelaRadioEc";FALSE;0;NA;2017-07-13 02:15:49;FALSE;NA;"885321838527746049";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"stefamatyualex";0;FALSE;FALSE;NA;NA;"Quito, Ecuador"
"809";"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/BOPkLeRgYA";FALSE;0;NA;2017-07-13 02:14:46;FALSE;NA;"885321574269804547";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"GuidoMontoya3";1;TRUE;FALSE;NA;NA;""
"810";"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/NARXuQuj84";FALSE;0;NA;2017-07-13 02:14:32;FALSE;NA;"885321517608960003";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"GuidoMontoya3";1;TRUE;FALSE;NA;NA;""
"811";"RT @ERICKDANNYY: @CanelaRadioEc  #DaddyYankee  #DaddyEnQuito  @daddy_yankee   @DYMFC_ECUADOR    #DYARMY  <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B9><U+008C> https://t.co/iH2DNi7vD9";FALSE;0;NA;2017-07-13 02:06:31;FALSE;NA;"885319498202570752";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"DYMFC_ECUADOR";2;TRUE;FALSE;NA;NA;"Ecuador"
"812";"@CanelaRadioEc  #DaddyYankee  #DaddyEnQuito  @daddy_yankee   @DYMFC_ECUADOR    #DYARMY  <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B9><U+008C> https://t.co/iH2DNi7vD9";FALSE;3;"CanelaRadioEc";2017-07-13 02:06:09;FALSE;NA;"885319404363427840";"2411790656";"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"ERICKDANNYY";2;FALSE;FALSE;NA;NA;"Ecuador"
"813";"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/IsdKX1mxDb";FALSE;0;NA;2017-07-13 01:57:51;FALSE;NA;"885317317906882561";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"Toapanta69Alex";17;TRUE;FALSE;NA;NA;""
"814";"@CanelaRadioEc #daddyenquito #DaddyEnQuito #DaddyYankee @daddy_yankee";FALSE;0;"CanelaRadioEc";2017-07-13 01:52:18;FALSE;NA;"885315921367191552";"2411790656";"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>";"Milo_mdi";0;FALSE;FALSE;NA;NA;"El inca city "
"815";"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/IsdKX1mxDb";FALSE;0;NA;2017-07-13 01:48:48;FALSE;NA;"885315040575926272";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"juanfer21845";17;TRUE;FALSE;NA;NA;"esmeraldas, Ecuador"
"816";"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/UXl4eWhs9C";FALSE;0;NA;2017-07-13 01:43:34;FALSE;NA;"885313723975557122";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"ArcosCris8922";4;TRUE;FALSE;NA;NA;"Quito- Ecuador"
"817";"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/fYmRabzzHU";FALSE;0;NA;2017-07-13 01:09:02;FALSE;NA;"885305034010918912";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"VLADY10";1;TRUE;FALSE;NA;NA;"Ecuador, Quito"
