"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Kesha reúne en 'Learn to let go' una serie de videos caseros de su infancia",FALSE,0,NA,2017-07-28 13:30:01,FALSE,NA,"890927324035559425",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","labrujaecuador",0,FALSE,FALSE,NA,NA
"Festival de cine de Venecia, con estrellas de Hollywood y realidad virtual",FALSE,1,NA,2017-07-28 13:00:01,FALSE,NA,"890919775089512448",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","labrujaecuador",0,FALSE,FALSE,NA,NA
"GS8, un smartphone amigable con tu hogar",FALSE,0,NA,2017-07-28 12:30:01,FALSE,NA,"890912227041001472",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","labrujaecuador",0,FALSE,FALSE,NA,NA
"RT @labrujaecuador: Zlatan Ibrahimovic tiene su propio billete en Suecia https://t.co/ANDHoFWZO4",FALSE,0,NA,2017-07-28 12:01:52,FALSE,NA,"890905141674749952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alxncs",2,TRUE,FALSE,NA,NA
"https://t.co/bKg2SAXScW",FALSE,0,NA,2017-07-28 12:00:01,FALSE,NA,"890904674903113728",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","labrujaecuador",0,FALSE,FALSE,NA,NA
"Nuestras condolencias para @MarcAnthony desde JC Radio por la pérdida de su señora Madre",FALSE,1,NA,2017-07-28 11:56:44,FALSE,NA,"890903847417368576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","labrujaecuador",1,FALSE,FALSE,NA,NA
"Angelina Jolie se siente una mujer completa tras divorcio con Brad Pitt https://t.co/46Y1rRe7vI",FALSE,0,NA,2017-07-28 11:00:02,FALSE,NA,"890889581243113474",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","labrujaecuador",0,FALSE,FALSE,NA,NA
"@eizamusica promociona en México Baby Driver https://t.co/ccDNNkKhzM",FALSE,0,"eizamusica",2017-07-28 09:00:00,FALSE,NA,"890859374180274178","55072675","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","labrujaecuador",0,FALSE,FALSE,NA,NA
"@justinbieber golpea por accidente a fotógrafo con su camioneta",FALSE,0,"justinbieber",2017-07-28 07:00:00,FALSE,NA,"890829174499188740","27260086","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","labrujaecuador",0,FALSE,FALSE,NA,NA
"Guillermo del Toro competirá por el León de Oro de #Venezia74",FALSE,1,NA,2017-07-28 05:00:01,FALSE,NA,"890798977502859265",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","labrujaecuador",0,FALSE,FALSE,NA,NA
"El Mundo de Tim Burton llegará al FranzMayer",FALSE,2,NA,2017-07-28 04:00:01,FALSE,NA,"890783880411611136",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","labrujaecuador",0,FALSE,FALSE,NA,NA
"Madonna acepta indemnización por violación de intimidad",FALSE,0,NA,2017-07-28 03:00:00,FALSE,NA,"890768776718721024",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","labrujaecuador",0,FALSE,FALSE,NA,NA
"RT @superjosefa: @labrujaecuador Por favor podrían complacernos con #VueloAParis de @JohannVera <U+2708><U+FE0F>  Gracias Brujitos Uds son adorables @tea…",FALSE,0,NA,2017-07-28 02:41:23,FALSE,NA,"890764092314669056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","teamjohannquito",1,TRUE,FALSE,NA,NA
"@labrujaecuador Por favor podrían complacernos con #VueloAParis de @JohannVera <U+2708><U+FE0F>  Gracias Brujitos Uds son adorables @teamjohannquito",FALSE,0,"labrujaecuador",2017-07-28 02:20:07,FALSE,NA,"890758739434852355","82985256","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","superjosefa",1,FALSE,FALSE,NA,NA
"Quieren un funeral privado para Chester Bennington",FALSE,3,NA,2017-07-28 02:00:01,FALSE,NA,"890753681406267394",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","labrujaecuador",0,FALSE,FALSE,NA,NA
