"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"#TienesQueSerFeliz https://t.co/QlfHys0miP",FALSE,5,NA,2017-07-30 14:19:25,FALSE,NA,"891664530996162560",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CanelaRadioEc",1,FALSE,FALSE,NA,NA
"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/QYwRdWaIUr",FALSE,0,NA,2017-07-30 14:19:23,FALSE,NA,"891664523417006080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FERBUSTAMANTEG",7,TRUE,FALSE,NA,NA
"#TienesQueSerFeliz https://t.co/moa1ClKbkE",FALSE,1,NA,2017-07-30 14:19:13,FALSE,NA,"891664481692131328",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CanelaRadioEc",0,FALSE,FALSE,NA,NA
"#TienesQueSerFeliz https://t.co/QYwRdWaIUr",FALSE,6,NA,2017-07-30 14:19:02,FALSE,NA,"891664437987471360",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CanelaRadioEc",7,FALSE,FALSE,NA,NA
"#TienesQueSerFeliz https://t.co/Mkwshgc5Cy",FALSE,8,NA,2017-07-30 14:18:52,FALSE,NA,"891664394182172672",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CanelaRadioEc",3,FALSE,FALSE,NA,NA
"#TienesQueSerFeliz https://t.co/wgCgrx7EpA",FALSE,2,NA,2017-07-30 14:18:37,FALSE,NA,"891664331913535493",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CanelaRadioEc",0,FALSE,FALSE,NA,NA
"#TienesQueSerFeliz https://t.co/gBvOprT7Vh",FALSE,6,NA,2017-07-30 14:18:21,FALSE,NA,"891664262430679041",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CanelaRadioEc",2,FALSE,FALSE,NA,NA
"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/4xsrQpz9eC",FALSE,0,NA,2017-07-30 14:17:42,FALSE,NA,"891664098584350721",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EmilioLoayzaGam",2,TRUE,FALSE,NA,NA
"#TienesQueSerFeliz https://t.co/4M7sHcpErR",FALSE,3,NA,2017-07-30 14:17:21,FALSE,NA,"891664012420710402",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CanelaRadioEc",0,FALSE,FALSE,NA,NA
"@CanelaRadioEc Jjjjjjj<ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+0089>",FALSE,0,"CanelaRadioEc",2017-07-30 14:17:09,FALSE,"891663873077633025","891663963489959936","2411790656","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DcTatoo",0,FALSE,FALSE,NA,NA
"#TienesQueSerFeliz https://t.co/BewNX6murr",FALSE,3,NA,2017-07-30 14:17:09,FALSE,NA,"891663961120272384",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CanelaRadioEc",1,FALSE,FALSE,NA,NA
"#TienesQueSerFeliz https://t.co/1f2WzJDrt0",FALSE,8,NA,2017-07-30 14:16:48,FALSE,NA,"891663873077633025",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CanelaRadioEc",2,FALSE,FALSE,NA,NA
"#TienesQueSerFeliz https://t.co/8jihBRPcqR",FALSE,9,NA,2017-07-30 14:16:27,FALSE,NA,"891663784137310208",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CanelaRadioEc",1,FALSE,FALSE,NA,NA
"#TienesQueSerFeliz https://t.co/vMCZqfy9vp",FALSE,7,NA,2017-07-30 14:16:08,FALSE,NA,"891663704038789120",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CanelaRadioEc",1,FALSE,FALSE,NA,NA
"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/3PRNVFlzKU",FALSE,0,NA,2017-07-30 14:15:49,FALSE,NA,"891663627769479170",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LoroHomero",7,TRUE,FALSE,NA,NA
"#TienesQueSerFeliz https://t.co/O3JN3ltKJE",FALSE,2,NA,2017-07-30 14:15:48,FALSE,NA,"891663621914320897",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CanelaRadioEc",0,FALSE,FALSE,NA,NA
"#TienesQueSerFeliz https://t.co/tDJgfae1FS",FALSE,2,NA,2017-07-30 14:15:29,FALSE,NA,"891663542864289792",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CanelaRadioEc",0,FALSE,FALSE,NA,NA
"@CanelaRadioEc Jjj",FALSE,0,"CanelaRadioEc",2017-07-30 14:15:27,FALSE,"891663426019262464","891663535385833472","2411790656","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DcTatoo",0,FALSE,FALSE,NA,NA
"#TienesQueSerFeliz https://t.co/j8QBZQYezT",FALSE,8,NA,2017-07-30 14:15:19,FALSE,NA,"891663499109203969",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CanelaRadioEc",3,FALSE,FALSE,NA,NA
"#TienesQueSerFeliz https://t.co/PtGDrNLaKx",FALSE,8,NA,2017-07-30 14:15:01,FALSE,NA,"891663426019262464",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CanelaRadioEc",2,FALSE,FALSE,NA,NA
"#TienesQueSerFeliz https://t.co/Cfge5EALkA",FALSE,4,NA,2017-07-30 14:14:47,FALSE,NA,"891663367399723010",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CanelaRadioEc",0,FALSE,FALSE,NA,NA
"#TienesQueSerFeliz https://t.co/3PRNVFlzKU",FALSE,18,NA,2017-07-30 14:14:37,FALSE,NA,"891663322348748800",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CanelaRadioEc",7,FALSE,FALSE,NA,NA
"#TienesQueSerFeliz https://t.co/GGbgszUWRV",FALSE,2,NA,2017-07-30 14:14:27,FALSE,NA,"891663281634594816",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CanelaRadioEc",0,FALSE,FALSE,NA,NA
"#TienesQueSerFeliz https://t.co/NqqW6CNn7Z",FALSE,7,NA,2017-07-30 14:14:14,FALSE,NA,"891663226081083393",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CanelaRadioEc",1,FALSE,FALSE,NA,NA
"#TienesQueSerFeliz https://t.co/4xsrQpz9eC",FALSE,5,NA,2017-07-30 14:13:49,FALSE,NA,"891663123576442884",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CanelaRadioEc",2,FALSE,FALSE,NA,NA
"#TienesQueSerFeliz https://t.co/ja7Hpcz5S2",FALSE,4,NA,2017-07-30 14:13:31,FALSE,NA,"891663047340810240",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CanelaRadioEc",1,FALSE,FALSE,NA,NA
"#TienesQueSerFeliz https://t.co/Qt1Q8dEHyU",FALSE,3,NA,2017-07-30 14:13:18,FALSE,NA,"891662992789655553",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CanelaRadioEc",0,FALSE,FALSE,NA,NA
"#TienesQueSerFeliz https://t.co/z6uo3i3aNv",FALSE,5,NA,2017-07-30 14:12:19,FALSE,NA,"891662743954231296",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CanelaRadioEc",1,FALSE,FALSE,NA,NA
"#TienesQueSerFeliz https://t.co/qEikXzVzqQ",FALSE,3,NA,2017-07-30 14:12:08,FALSE,NA,"891662701344280577",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CanelaRadioEc",0,FALSE,FALSE,NA,NA
