;text;favorited;favoriteCount;replyToSN;created;truncated;replyToSID;id;replyToUID;statusSource;screenName;retweetCount;isRetweet;retweeted;longitude;latitude;
34;RT @tamyocampot: @JoyaStereo @ruthvargas28 Queremos escuchar a @GdZOficial  y a #CarlosRivera por favor hermosa #YoSoyRiverista #YoSoyJoya;FALSE;0;NA;08/07/2017 17:13;FALSE;NA;8,84E+17;NA;"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""";IsabelChilig;2;TRUE;FALSE;NA;NA;
35;Suena en @JoyaStereo Un amor de Verdad de @ReikMx <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B2><U+0095><ed><U+00A0><U+00BC><ed><U+00BE><U+00A4>la luz que ilumine mi andar<ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BC><ed><U+00BE><U+00A4> mil gracias @ruthvargas28 @MundoReikEc @SonyMusicEC;FALSE;1;NA;08/07/2017 15:55;FALSE;NA;8,84E+17;NA;"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""";pauliRyK;1;FALSE;FALSE;NA;NA;
36;@JoyaStereo @ruthvargas28 En mi tierrita divina hay tantas cosas ricas... Con mucho gusto se le lleva algo... <ed><U+00A0><U+00BE><ed><U+00B4><U+0097><ed><U+00A0><U+00BE><ed><U+00B4><U+0097><ed><U+00A0><U+00BE><ed><U+00B4><U+0097>;FALSE;1;JoyaStereo;08/07/2017 15:46;FALSE;8,84E+17;8,84E+17;275140097;"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""";JessicaVasque30;0;FALSE;FALSE;NA;NA;
37;@JoyaStereo @ruthvargas28 Como debe de ser, escuchando la mejor radio. Este fin de semana desde Portoviejo!! Saludo… https://t.co/yq7MEdkWax;FALSE;1;JoyaStereo;08/07/2017 15:35;TRUE;8,84E+17;8,84E+17;275140097;"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""";JessicaVasque30;0;FALSE;FALSE;NA;NA;
38;@JoyaStereo @ruthvargas28 #LocoEnamorado de @AbrahamMateo #Alprimercontacto;FALSE;1;JoyaStereo;08/07/2017 15:28;FALSE;8,84E+17;8,84E+17;275140097;"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""";AbrahamMateoEcu;0;FALSE;FALSE;NA;NA;
39;@JoyaStereo @ruthvargas28 Queremos escuchar a @GdZOficial  y a #CarlosRivera por favor hermosa #YoSoyRiverista #YoSoyJoya;FALSE;3;JoyaStereo;08/07/2017 15:28;FALSE;8,84E+17;8,84E+17;275140097;"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""";tamyocampot;2;FALSE;FALSE;NA;NA;
40;Seguimos disfrutando nuestro día!! Sonidos que cautivan #AlPrimerContacto junto a @ruthvargas28  Qué escuchamos hoy? https://t.co/eMlTLOOPcb;FALSE;6;NA;08/07/2017 15:27;FALSE;NA;8,84E+17;NA;"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""";JoyaStereo;4;FALSE;FALSE;NA;NA;
41;@PattyCampoverd2 @JoyaStereo @EdwinCardenas Hola saludos dsd Cuenca lindo sábado...;FALSE;0;PattyCampoverd2;08/07/2017 15:06;FALSE;8,83E+17;8,84E+17;8,39E+17;"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""";andymejia1983;0;FALSE;FALSE;NA;NA;
42;RT @JoyaStereo: Mañana de miradas #AlPrimerContacto y @Me_Cachas nos cautiva con la suya! - 97.3 FM - https://t.co/eMlTLOOPcb https://t.co/…;FALSE;0;NA;08/07/2017 14:32;FALSE;NA;8,84E+17;NA;"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Lite</a>""";dayanataly94;6;TRUE;FALSE;NA;NA;
43;RT @tamyocampot: @JoyaStereo @EdwinCardenas Un angelito para que nos cuide el fin de semana https://t.co/Lu7XbZxN73;FALSE;0;NA;08/07/2017 14:10;FALSE;NA;8,84E+17;NA;"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""";IsabelChilig;2;TRUE;FALSE;NA;NA;
